Model,Class,Precision,Recall,F1-Score,Support
RESNET18,Water,0.799,0.516,0.627,223
RESNET18,Trees,0.891,0.563,0.690,7416
RESNET18,Crops,0.738,0.948,0.830,11470
RESNET18,Shrub,0.500,0.257,0.340,35
RESNET18,Built,0.663,0.406,0.504,556
RESNET18,Bare,0.385,0.117,0.179,300
RESNET34,Water,0.803,0.511,0.625,223
RESNET34,Trees,0.853,0.579,0.690,7416
RESNET34,Crops,0.739,0.934,0.825,11470
RESNET34,Shrub,0.467,0.200,0.280,35
RESNET34,Built,0.766,0.342,0.473,556
RESNET34,Bare,0.557,0.113,0.188,300
RESNET101,Water,0.789,0.520,0.627,223
RESNET101,Trees,0.865,0.587,0.700,7416
RESNET101,Crops,0.747,0.931,0.829,11470
RESNET101,Shrub,0.349,0.429,0.385,35
RESNET101,Built,0.654,0.432,0.520,556
RESNET101,Bare,0.383,0.137,0.201,300
RESNET152,Water,0.879,0.359,0.510,223
RESNET152,Trees,0.852,0.587,0.695,7416
RESNET152,Crops,0.744,0.926,0.825,11470
RESNET152,Shrub,0.306,0.314,0.310,35
RESNET152,Built,0.631,0.424,0.508,556
RESNET152,Bare,0.429,0.170,0.243,300
